sentiment,text,label
positive,good mobile. battery is 5000 mah is very big. camera quality very good.,2
positive,Overall in hand ecpirience is quite good matt finish really makes you feel premium battrey life supports you hole day still if you are a gamer not full tym 2 hrs of gaming can be easily sustainable for battrey camera is good but misses details many times potrait mode is lagging although processor and 90hz display makes device pretty good to handle oneplus should add some details update for camera or it will hampper their upcoming phone not in oneplus 7t also i have seen in other oneplus device like oneplus 7 pro and you got take care of camera and future updates iphone gives the best camera in current overall best flagship is non other than oneplus 7t with all the feature accept camera details problem,2
positive,"1. Superb Camera,
2. No lag
3. This is my first Samsung phone, as earlier I used Xiomi, Asus and Nokia. No comparison with Samsung M31.",2
positive,Bigger size of application names doesn't allow the name to be viewed full.,2
negative,"Just a hype of stock android which is not flawless. It's better to have custom ui but if any other launcher is installed on it even MI's own poco launcher it behaves much poorly. Battery life is not as good as it could have been. Ram management is also not well, any realme phone with 3 GB ram does better than this. Camera is OK and better than realme phones at same price segment",0
negative,First day mobile go to the conditions bad,0
neutral,Only for formal use its ok. If you want best camera and sound quality you should ignore Vivo U10 because camera and sound quality very poor. Otherwise battery performance is very amazing.,1
negative,Battery Problem After 05 Month,0
negative,"Confusing OS,Very low sound , worst camera quality, performance is ok . overall not satisfied .",0
neutral,"Why its locked to indian Network only???
I can not use Abroad, what is this useless trick by Samsung, why You are doing this, It was not mentioned while advertising!!!!! I am not happy at all !!!!! Though Battery life is good, Camera is average.... not up to Samsungs earlier Quality....",1
neutral,"Worst Camera..
Front cam gives just 2MP pics
Back camera is not up to the Mark
Bad resolution
If you need good camera please dont go for this mobile.
Good battery backup",1
positive,Super,2
neutral,Dislike,1
neutral," A towel, a 'Sub-Etha Sens-O-Matic' and the Guide ??",1
negative,It's a worst product i did receive this product but camera was not good and phone making problems while i make call h hanging problem also i am not happy i want to refund my money but due to some problem amazon representative was not helped me while i purchased this phone that time I thought this phone would be a good phone for my girlfriend and purchased and i given to this for my girlfriend and now my girlfriend said to me this is a worst phone she is not happy with this so that's why I'm not happy with amazon,0
positive,"Finally samsung understands what they have to do to give its customers a complete mobile phone . Far better battery life than it's competitors. Nice camera  ,good built quality, overall a value for money phone. ( Previously I owned honor , Asus, realme  . This is the first time I'm impressed with the specifications of a Samsung's midrange mobile)",2
negative,it takes 5 to 6 hour for charging from 0 to 100% charging speed is very slow it support fast charging  only 15wt so charging speed is very slow  and also front camera  is one of the worst camera ever even redmi 16mp can click photo better then this phone so dont buy this phone,0
neutral,BIG NEWS?! But I don`t know if I can share it.,1
negative,_ listen to FTSK  they stop my bordum  haha how was your day? finished crying about Harold? ha ****,0
positive,"great food, freaky good service, fantastic atmosphere.  Highly recommend sitting on patio, inside looked a bit loud.  Patio is fantastic, it is one of a few in Phoenix where it doesn't overlook a parking lot.  This is my new favorite place to take visitors.",2
positive,  how great is that!  Nice to meet you!,2
positive,Very nice product,2
negative,"Internet suffering problems, it's very slow and dual app system also not available with this phone, battery and camra quality are avrage. So my suggestion is that please do not purchase this phone.",0
neutral,"Ok ok mobile.  Hanging problem as usual in brand samsung.
Will not recommend anyone as mi is still better option in below 20k range",1
positive,Good phone,2
